title,unshaded,shaded
1. 1st Division,Jointness,Service parochialism
2. Ospina & Mora,COIN experts take charge,COIN strategy eludes Army
3. Tapias,CO tightens civil-military bonds,Civil-military rivalries fester
4. Caño Limón - Coveñas,Profitable pipeline,Pipeline draws attacks
5. Occidental & Ecopetrol,Oil company security,Industry thought exploitative
6. Oil Spill,Rebels blamed,Multinationals make mess
7. 7th Special Forces,Infrastructure protection training,US training ineffective
8. Fuerza Aérea Colombiana,COIN strike aircraft,Budget diverted to expensive jets
9. High Mountain Battalions,Elites guard high-altitude corridors,Equipment not delivered
10. Blackhawks,US helos delivered,Delivery of US helos delayed
11. National Defense & Security Council,Military-police jointness,Military-police rivalry
12. Plan Colombia,"US ""War on Drugs""",US aid focuses on drug war
13. Plan Meteoro,Transport protection units,Transport security deemphasized
14. Tres Esquinas,Forward base,Base overrun
15. War Tax,Defense budget shot in the arm,Middle class resents cost of war
16. Coffee Prices,They're up,They're down
17. Madrid Donors,Aid conference generous,EU aid focuses on reconstruction
18. NSPD-18,"US ""War on Terror"" takes on FARC",US focused on Mid-East and South Asia
19. General Offensive,,
20. Mono Jojoy,KIA puts FARC in disarray,Military strategist
21. Raúl Reyes,FARC Deputy killed,FARC Deputy channels foreign support
22. Alfonso Cano,FARC leader killed in military strike,Ideologue
23. DoD Contractors,US provides aircrew,Plane down - hostage search and evasion
24. Operación Jaque,Dramatic hostage rescue,Hostage rescue goes awry
25. Ejército de Liberación Nacional,ELN and FARC jockey,ELN and FARC coordinate ops
26. Gramaje,FARC protection rejected,Schedule of fees
27. Misil Antiaéreo,FARC MANPADs deemed a myth,MANPADs feared
28. Hugo Chávez,Caracas controls border,Caracas aids rebels
29. Kill Zone,Army sniffs out FARC trap,Tactics lure enemy in
30. Peace Commission,FARC accused in Commissioner's killing,Peace bid
31. Betancourt,Sympathy for famous hostage,Hostage negotiations forum for FARC
32. Secuestrados,Fed up with hostage-taking,Ransoming highly profitable
33. Sucumbíos,Ecuadoran buffer zone,Cross-border war
34. Airdropped AKs,Insurgents scammed by Russian criminals,Covert weapons delivery
35. Crop Substitution,Government initiative,FARC proposals lauded
36. Zona de Convivencia,ELN gets its DMZ,
37. Former Military,Ties that bind,Ex-officers advise paramilitaries
38. National Coordination Center,New command fights paramilitaries,Sympathizers alert AUC
39. Soldados Campesinos,Local forces platoons,Local forces augment autodefensas
40. Demobilization,Negotiated reintegration,"Talks a ruse, fighters recycled"
41. Mancuso,AUC No.2 extradited,AUC drug lord
42. Senado & Cámara,Unity behind Presidential war policy,Insurgent sympathies
43. Calima Front,Suspect leftists massacred,Brutality blamed on Army
44. Colombia Nueva,Anti-corruption campaign,Political campaign divisive
45. Los Derechos Humanos,Officers disciplined,International human rights cartel
46. Limpieza,Ruthless elimination,
47. Pinto & del Rosario,Human rights investigators,Prosecutors killed
48. Unión Sindical Obrera,AUC targets oil labor organizers,Labor backs FARC
49. Bloques,Militias defy Castaño,Independent militias join AUC
50. Carabineros,National police field forces,National police corruption
51. Pipeline Repairs,Speedy patching,Security concerns hinder maintenance
52. Castaño,AUC leader's memoir a best seller,Charismatic AUC political leader
53. Criminal Air Force,Insurgent access to small aircraft,
54. Deserters & Defectors,,
55. DEA Agents,Law enforcement assistance,Más Yanquis
56. Drogas La Rebaja,Cali cartel's drugstore chain seized,Retail empire
57. Op Millenium,Colombian-US strike at Bernal syndicate,Investigation penetrated
58. General Serrano,National Police hammer cartels,Officials on cartel payroll
59. Salcedo,Cartel informant,Cali cartel security chief
60. The Chess Player,Kingpin strategy scores,Cali's Gilberto Rodríguez Orejuela expands empire
61. Air Bridge,Peruvian coca supply controlled,Colombian coca growers fill Peruvian void
62. Amazonía,Brasília's Op Cobra blocks border,Jungle landing strips
63. Narco-War,Rival syndicates go for the throat,
64. Cocaine Labs,FARC taps suppliers,Well-oiled industry
65. Poppies,Growers and Government eradication focus on heroin source,
66. Tingo María,Coca crop fails,Hearty coca variety
67. Mexican Traffickers,Major shipment busted en route,New routes to US market
68. Narco-Subs,Submersibles seized,Littoral stealth
69. Riverines & Fast Boats,,
70. Ayahuasca Tourism,Eco-tourism helps trade balance,Eco-tourists taken
71. Darién,Arms traffic interdicted,Border sanctuary
72. Sicarios,Hired drug guns unreliable,Unemployed ready to work for syndicates
73. Propaganda!,,
74. Propaganda!,,
75. Propaganda!,,
76. Propaganda!,,
